16 239 
1 2 1 
1 3 1 
1 4 0 
1 5 2 
1 6 5 
1 7 4 
1 8 1 
1 9 0 
1 10 1 
1 11 5 
1 12 1 
1 13 1 
1 14 0 
1 15 4 
1 16 1 
2 1 0 
2 3 0 
2 4 2 
2 5 0 
2 6 2 
2 7 4 
2 8 1 
2 9 0 
2 10 1 
2 11 2 
2 12 7 
2 13 3 
2 14 2 
2 15 -1 
2 16 4 
3 1 2 
3 2 -1 
3 4 1 
3 5 0 
3 6 3 
3 7 3 
3 8 1 
3 9 1 
3 10 3 
3 11 3 
3 12 2 
3 13 2 
3 14 1 
3 15 2 
3 16 -1 
4 1 1 
4 2 -2 
4 3 2 
4 5 1 
4 6 1 
4 7 3 
4 8 0 
4 9 0 
4 10 -1 
4 11 1 
4 12 1 
4 13 0 
4 14 1 
4 15 1 
4 16 2 
5 1 1 
5 2 -3 
5 3 1 
5 4 6 
5 6 0 
5 7 0 
5 8 -1 
5 9 2 
5 10 0 
5 11 2 
5 12 1 
5 13 1 
5 14 0 
5 15 5 
5 16 -2 
6 1 0 
6 2 1 
6 3 0 
6 4 1 
6 5 0 
6 7 1 
6 8 0 
6 9 1 
6 10 2 
6 11 0 
6 12 1 
6 13 0 
6 14 3 
6 15 0 
6 16 3 
7 1 1 
7 2 -2 
7 3 0 
7 4 3 
7 5 -2 
7 6 -1 
7 8 1 
7 9 0 
7 10 1 
7 11 -2 
7 12 -2 
7 13 -1 
7 14 -1 
7 15 3 
7 16 0 
8 1 1 
8 2 -2 
8 3 0 
8 4 1 
8 5 1 
8 6 1 
8 7 0 
8 10 1 
8 11 0 
8 12 2 
8 13 1 
8 14 1 
8 15 1 
8 16 1 
9 1 -3 
9 2 -1 
9 3 0 
9 4 2 
9 5 0 
9 6 3 
9 7 -3 
9 8 0 
9 10 0 
9 11 0 
9 12 1 
9 13 5 
9 14 2 
9 15 2 
9 16 3 
10 1 1 
10 2 0 
10 3 0 
10 4 -3 
10 5 -1 
10 6 0 
10 7 1 
10 8 0 
10 9 -1 
10 11 0 
10 12 1 
10 13 0 
10 14 1 
10 15 3 
10 16 -1 
11 1 -2 
11 2 1 
11 3 2 
11 4 1 
11 5 -1 
11 6 -1 
11 7 0 
11 8 1 
11 9 1 
11 10 3 
11 12 2 
11 13 2 
11 14 2 
11 15 -1 
11 16 1 
12 1 -3 
12 2 -1 
12 3 -2 
12 4 0 
12 5 -1 
12 6 -4 
12 7 -1 
12 8 -1 
12 9 1 
12 10 1 
12 11 -3 
12 13 -1 
12 14 1 
12 15 0 
12 16 3 
13 1 1 
13 2 1 
13 3 -1 
13 4 0 
13 5 -1 
13 6 -2 
13 7 0 
13 8 -1 
13 9 -1 
13 10 0 
13 11 0 
13 12 0 
13 14 2 
13 15 0 
13 16 2 
14 1 -1 
14 2 0 
14 3 2 
14 4 -3 
14 5 3 
14 6 -2 
14 7 -1 
14 8 0 
14 9 0 
14 10 1 
14 11 1 
14 12 1 
14 13 3 
14 15 0 
14 16 1 
15 1 -1 
15 2 -2 
15 3 0 
15 4 -4 
15 5 -4 
15 6 -1 
15 7 3 
15 8 0 
15 9 0 
15 10 -2 
15 11 -1 
15 12 -2 
15 13 1 
15 14 1 
15 16 -1 
16 1 -3 
16 2 0 
16 3 1 
16 4 -1 
16 5 1 
16 6 -2 
16 7 1 
16 8 0 
16 9 0 
16 10 0 
16 11 -2 
16 12 -3 
16 13 -2 
16 14 2 
16 15 0
